2026-02-15 13:05:25.871849,hey are you busy 
,0,Low Risk
2026-02-15 13:05:51.435454,hey your bank acc needs your passwordplz click at the link 
,0,Low Risk
2026-02-15 13:07:31.974602,
Hey, are we meeting tomorrow at 5 PM?
,0,Low Risk
2026-02-15 13:08:07.447443,Happy Birthday! Hope you have a great day,0,Low Risk
2026-02-15 13:08:42.114998,URGENT! Your bank account has been suspended. Click here to verify immediately.,0,Low Risk
2026-02-15 13:08:49.111400,URGENT! Your bank account has been suspended. Click here to verify immediately.,0,Low Risk
2026-02-15 13:09:05.411656,Congratulations! You won $10,000. Claim your prize now by clicking this link,1,High Risk
2026-02-15 13:09:25.101232,your ATM card will be blocked. Update your details now to avoid suspension.,0,Low Risk
2026-02-15 13:09:48.292569,Limited time offer! Get free iPhone now. Visit link below.,0,Low Risk
2026-02-15 13:10:04.961589,Dear customer, your account has suspicious activity. Login to secure it now.,0,Low Risk
2026-02-15 13:10:34.237137,Please verify your payment information to avoid service interruption,0,Low Risk
2026-02-15 13:11:32.166352,URGENT! Your bank account has been temporarily suspended. Click the link below to verify immediately.,0,Low Risk
2026-02-15 13:11:34.306984,URGENT! Your bank account has been temporarily suspended. Click the link below to verify immediately.,0,Low Risk
2026-02-15 13:11:49.308291,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 13:12:05.301526,Dear customer, your account has suspicious activity. Verify your details now to avoid blocking,0,Low Risk
2026-02-15 13:12:17.813032,Final notice! Your ATM card will be blocked today. Update your information immediately.,0,Low Risk
2026-02-15 13:12:28.627019,You won a cash prize of $5,000. Click here to claim before the offer expires.,1,High Risk
2026-02-15 13:12:42.490863,Your PayPal account has been restricted. Login now to restore access.,0,Low Risk
2026-02-15 13:12:57.243408,Claim your lottery winnings today. Provide your bank details to receive payment.,0,Low Risk
2026-02-15 13:13:33.531741,Your account has been compromised. Update your password immediately to avoid loss,0,Low Risk
2026-02-15 13:13:52.640900,Free gift card waiting! Claim your prize before it expires. Click the secure link now.,1,Medium Risk
2026-02-15 13:14:06.809629,Urgent banking alert: verify your account details now to prevent permanent suspension,0,Low Risk
2026-02-15 13:14:23.354742,Congratulations! You have won a lottery prize. Click here to claim your free reward immediately.,1,High Risk
2026-02-15 13:37:29.581251,Congratulations! You have been selected to receive a free iPhone. Claim your reward now,1,High Risk
2026-02-15 13:37:33.322807,Congratulations! You have been selected to receive a free iPhone. Claim your reward now,1,High Risk
2026-02-15 13:37:50.646459,Congratulations! You have been selected to receive a free iPhone. Claim your reward now,1,High Risk
2026-02-15 13:43:21.095627,You won a cash prize of $5,000. Click here to claim before the offer expires.,1,High Risk
2026-02-15 13:43:34.511225,You won a cash prize of $5,000. Click here to claim before the offer expires.,1,High Risk
2026-02-15 13:47:49.635770,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 13:48:02.885830,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 13:54:46.204219,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:19:27.186528,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:19:51.673392,hi  be my friend,0,Low Risk
2026-02-15 14:21:42.795015,https://meet.google.com/qeh-kjri-svo,0,Low Risk
2026-02-15 14:22:31.520862,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:22:42.032637,https://meet.google.com/qeh-kjri-svo,0,Low Risk
2026-02-15 14:23:20.862133,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:23:32.342087,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:23:40.345977,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:23:45.750872,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:25:44.198481,https://meet.google.com/qeh-kjri-svo,0,Low Risk
2026-02-15 14:25:46.645935,https://meet.google.com/qeh-kjri-svo,0,Low Risk
2026-02-15 14:25:48.156414,https://meet.google.com/qeh-kjri-svo,0,Low Risk
2026-02-15 14:26:24.139780,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:27:04.337453,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:27:43.236321,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:28:29.001872,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:29:59.269100,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:32:10.014391,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:32:44.055753,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:36:32.038952,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:38:27.909143,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:38:48.483000,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:47:40.618672,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:47:50.041028,Congratulations! You have been selected to receive a free iPhone. Claim your reward now.,1,High Risk
2026-02-15 14:48:13.261629,hi i am souvik ,0,Low Risk
2026-02-15 18:01:51.532994,hi i am souvik ,0,Low Risk
2026-02-15 22:13:30.167712,hi  i am souvik,0,Low Risk
2026-02-15 22:13:48.445628,https://meet.google.com/ttp-enmv-bds,0,Low Risk
2026-02-15 22:13:50.442558,https://meet.google.com/ttp-enmv-bds,0,Low Risk
2026-02-15 22:14:13.972988,plz send 100000 for your bank details asap,0,Low Risk
2026-02-15 23:54:51.085056,hi,0,Low Risk
2026-02-15 23:55:07.518507,send me money 10000000,0,Low Risk
2026-02-15 23:55:19.036824,your acc is hacked,0,Low Risk
2026-02-15 23:55:34.138335,your password is xxxxxxx urgent 
,0,Low Risk
2026-02-15 23:55:47.652542,urgent send 1000000 
,0,Low Risk
2026-02-15 23:55:51.069518,urgent send 1000000 
,0,Low Risk
2026-02-15 23:55:57.331931,urgent send 1000000 
,0,Low Risk
2026-02-15 23:56:11.371561,transaction od 2300000 ,0,Low Risk
2026-02-16 00:00:18.370133,Dear Customer,

We detected suspicious activity on your bank account. Your account has been temporarily suspended.

Click the link below to verify your identity immediately:
http://secure-bank-verification-login.xyz

Failure to verify within 24 hours will result in permanent closure.

Regards,
Bank Security Team,0,Low Risk
2026-02-16 00:00:30.332967,Dear Customer,

We detected suspicious activity on your bank account. Your account has been temporarily suspended.

Click the link below to verify your identity immediately:
http://secure-bank-verification-login.xyz

Failure to verify within 24 hours will result in permanent closure.

Regards,
Bank Security Team,0,Low Risk
2026-02-16 00:02:58.423903,http://amazon-refund-support.ru,0,Low Risk
2026-02-16 00:04:03.636101,Dear Customer,

Your account will be blocked unless you verify your OTP immediately.
Reply to this email with the 6-digit OTP sent to your mobile.,0,Low Risk
2026-02-16 00:08:06.231785,"Dear Candidate,

We are pleased to offer you a remote job with salary ₹75,000 per month.

Pay ₹2,000 registration fee to confirm your offer.

HR Team
",0,Low Risk
2026-02-16 00:09:24.033229,"Dear Mr. Sharma,

Your January 2026 account statement is now available in your official banking app.

Please log in directly via the official app or website.

Thank you,
XYZ Bank",0,Low Risk
2026-02-16 00:16:25.314801,"Dear Customer,

Your bank account has been flagged for suspicious activity.
Click below to verify immediately or your account will be permanently locked:
http://bank-secure-login-update.xyz

Act within 2 hours.
Security Team",0,Safe
2026-02-16 00:17:17.177343,"Dear Taxpayer,

Your refund is ready. Submit your PAN card and bank login credentials here:
http://incometax-refund-gov.co

Complete verification within 24 hours.",0,Safe
2026-02-16 00:17:46.417373,"We detected login from a new device.

Reply with your 6-digit OTP to prevent account suspension.",0,Safe
2026-02-16 00:19:05.677141,"Congratulations!

To release funds, pay processing fee ₹10,000 and share Aadhaar + bank details.",0,Safe
2026-02-16 00:19:36.696184,"you are selected for remote job ₹1,20,000/month.

Pay ₹3,000 for document verification.",0,Safe
2026-02-16 00:20:04.115353,"Hello Souvik,

Your order has been confirmed and will be delivered by 18 Feb 2026.

Track order via official app.",0,Safe
2026-02-16 00:21:43.914170,"URGENT: Your bank account has been temporarily suspended due to suspicious activity.
Verify immediately to avoid permanent closure:
http://secure-update-bank-login.com",0,Safe
2026-02-16 00:22:04.781000,"Congratulations! You have won ₹5,00,000 in our Mega Lucky Draw.
Claim now by submitting your Aadhaar and bank details:
http://claim-prize-now.co",1,Risk
2026-02-16 00:22:42.987653,"Your OTP verification failed.
Click here to re-verify your account within 5 minutes:
http://secure-otp-update.net",0,Safe
2026-02-16 00:23:00.397962,"Your parcel delivery is on hold due to unpaid customs charges.
Pay ₹299 now to release shipment:
http://track-delivery-payment.xyz",0,Safe
2026-02-16 00:23:22.234933,"You are eligible for a tax refund of ₹18,450.
Submit bank credentials here to process refund:
http://gov-refund-portal.info",0,Safe
2026-02-16 00:25:44.071923,URGENT ACTION REQUIRED: Your account will be permanently blocked in 24 hours due to suspicious login attempts. Verify identity immediately to avoid data loss. Click below to secure your account.,0,Safe
2026-02-16 00:45:10.090737,URGENT ACTION REQUIRED: Your account will be permanently blocked in 24 hours due to suspicious login attempts. Verify identity immediately to avoid data loss. Click below to secure your account.,0,Safe
2026-02-16 00:45:15.441936,"Dear Customer,

Due to suspicious activity, your bank account has been temporarily suspended.

Verify your identity immediately to restore access:
👉 http://secure-banking-update-login.xyz/verify

Failure to act within 1 hour will permanently block your account.

Bank Security Department",0,Safe
2026-02-16 00:46:11.028602,"Subject: Income Tax Refund ₹48,750 Approved

Email Body:

Dear Taxpayer,

Your refund is ready for processing.

Submit your PAN and bank login details here:
👉 http://gov-incometax-refund-secure.co.in.verify-user.ru

Complete verification within 24 hours to avoid cancellation.",0,Safe
2026-02-16 00:51:02.846223,streamlit run app.py,8.846409697224116,High Risk
2026-02-16 00:52:03.529527,streamlit run app.py,0,Safe
2026-02-16 00:57:44.861620,streamlit run app.py,0,Safe
2026-02-16 01:01:11.587612,"URGENT: Your bank account has been suspended. 
Click here immediately to verify your details or your account will be permanently blocked.
",0,Safe
2026-02-16 01:01:11.770061,"URGENT: Your bank account has been suspended. 
Click here immediately to verify your details or your account will be permanently blocked.
",0,Safe
2026-02-16 01:01:30.970749,"Congratulations! You have won a $1000 gift card. 
Claim your reward now by clicking the link below.
Limited time offer!
",1,Risk
2026-02-16 19:07:38.560934,"Congratulations! You have won a $1000 gift card. 
Claim your reward now by clicking the link below.
Limited time offer!
",1,Risk
2026-02-16 19:08:06.754877,"Congratulations! You have won a $1000 gift card. 
Claim your reward now by clicking the link below.
Limited time offer!
",1,Risk
2026-02-16 19:09:17.618323,tomorrow we  have a ureckon tournament which have 18000 prize pool,0,Safe
2026-02-16 19:09:24.776346,tomorrow we  have a ureckon tournament which have 18000 prize pool,0,Safe
2026-02-16 19:09:42.838040,tomorrow we  have a ureckon tournament which have $18000prize pool,0,Safe
